District,Village
Anugul  ,Bhetia
Anugul  ,Bhimakanda
Anugul  ,Bhimakanda
Anugul  ,Bhimapur
Anugul  ,Bhobanipur
Anugul  ,Bhogabereni
Anugul  ,Bhogara
Anugul  ,Bhoipada
Anugul  ,Bhojapur
Anugul  ,Bholeswarpur
Anugul  ,Bhuasuninali
Anugul  ,Bhubanapurjungle
Anugul  ,Bhubanbaspur
Anugul  ,Bhubanpur
Anugul  ,Bhuinpur
Anugul  ,Bhujapur
Anugul  ,Bhurukundi
Anugul  ,Bhusan Steel Limited
Anugul  ,Bidising
Anugul  ,Bidisinga
Anugul  ,Bidisingbasu
Anugul  ,Bidyadharpur
Anugul  ,Bidyadharpur
Anugul  ,Biharipur
Anugul  ,Bijagotha
Anugul  ,Bijamaliha
Anugul  ,Bijigol
Anugul  ,Bijipur
Anugul  ,Bikisar
Anugul  ,Bikrampur 
Anugul  ,Bileinali
Anugul  ,Bilinda
Anugul  ,Bimalabeda
Anugul  ,Bimbadharpur
Anugul  ,Bindapur
Anugul  ,Binodpur
Anugul  ,Bipradihi
Anugul  ,Birabahanpur
Anugul  ,Birabarpur
Anugul  ,Birabhuin
Anugul  ,Biranamunda
Anugul  ,Biraramchandrapur
Anugul  ,Biru
Anugul  ,Bishnupur
Anugul  ,Biswalmunda
Anugul  ,Biswanathapur
Anugul  ,Biswanathpur
Anugul  ,Biswanathpur
Anugul  ,Boinda
Anugul  ,Boitasarei
Anugul  ,Bol
Anugul  ,Bonda
Anugul  ,Brahmanandapur
Anugul  ,Brahmanbahali
Anugul  ,Brahmanbil
Anugul  ,Brahmanidei
Anugul  ,Brahmanidei
Anugul  ,Brahmanipali
Anugul  ,Brahmanposi
Anugul  ,Brahmapur
Anugul  ,Brahmapur
Anugul  ,Brajanathapur
Anugul  ,Bramhanasahi
Anugul  ,Brundabanpur
Anugul  ,Brundabanpur
Anugul  ,Brundabanpur
Anugul  ,Bruti
Anugul  ,Budhapal
Anugul  ,Budhapanka (CT)  
Anugul  ,Budiabahal
Anugul  ,Budulimunda
Anugul  ,Bulajhar
Anugul  ,Buraghat
Anugul  ,Burubahal
Anugul  ,Burubura
Anugul  ,Burukuna
Anugul  ,Chainpal
Anugul  ,Chakradharpur
Anugul  ,Chakradharpur
Anugul  ,Chakundamunda
Anugul  ,Chakundapal
Anugul  ,Chakuriapal
Anugul  ,Champapur
Anugul  ,Champatimunda
Anugul  ,Chandanpur
Anugul  ,Chandaposi
Anugul  ,Chandbahal
Anugul  ,Chandpank
Anugul  ,Chandpur
Anugul  ,Chandrabahala
Anugul  ,Chandrabil
Anugul  ,Chandrapur
Anugul  ,Chandrapur
Anugul  ,Chandrasekharpur
Anugul  ,Changudia
Anugul  ,Changudia
